start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,state
1371377405903,1371377406403,0,0,0,0,H2
1371377406403,1371377406903,0,0,0,0,H2
1371377406903,1371377407403,0,0,0,0,H2
1371377407403,1371377407903,0,0,0,0,H2
1371377407903,1371377408403,0,0,0,0,H2
1371377408403,1371377408903,0,0,0,0,H2
1371377408903,1371377409403,0,0,0,0,H2
1371377409403,1371377409903,0,0,0,0,H2
1371377409903,1371377410403,0,0,0,0,H2
1371377410403,1371377410903,0,0,0,0,H2
1371377410903,1371377411403,0,0,0,0,H2
1371377411403,1371377411903,0,0,0,0,H2
1371377411903,1371377412403,0,0,0,0,H2
1371377412403,1371377412903,0,0,0,0,H2
1371377412903,1371377413403,0,0,0,0,H2
1371377413403,1371377413903,0,0,0,0,H2
1371377413903,1371377414403,0,0,0,0,H2
1371377414403,1371377414903,0,0,0,0,H2
1371377414903,1371377415403,0,0,0,0,H2
1371377415403,1371377415903,0,0,0,0,H2
1371377415903,1371377416403,0,0,0,0,H2
1371377416403,1371377416903,0,0,0,0,H2
1371377416903,1371377417403,0,0,0,0,H2
1371377417403,1371377417903,0,0,0,0,H2
1371377417903,1371377418403,0,0,0,0,H2
1371377418403,1371377418903,0,0,0,0,H2
1371377418903,1371377419403,0,0,0,0,H2
1371377419403,1371377419903,0,0,0,0,H2
1371377419903,1371377420403,0,0,0,0,H2
1371377420403,1371377420903,0,0,0,0,H2
1371377420903,1371377421403,0,0,0,0,H2
1371377421403,1371377421903,0,0,0,0,H2
1371377421903,1371377422403,0,0,0,0,H2
1371377422403,1371377422903,0,0,0,0,H2
1371377422903,1371377423403,0,0,0,0,H2
1371377423403,1371377423903,0,0,0,0,H2
1371377423903,1371377424403,0,0,0,0,H2
1371377424403,1371377424903,0,0,0,0,H2
1371377424903,1371377425403,1,0,0,0,H3
1371377425403,1371377425903,4,0,0,0,H3
1371377425903,1371377426403,3,0,0,0,H3
1371377426403,1371377426903,3,0,0,0,H3
1371377426903,1371377427403,2,0,0,0,H3
1371377427403,1371377427903,0,0,0,0,H2
1371377427903,1371377428403,0,0,0,0,H2
1371377428403,1371377428903,0,0,0,0,H2
1371377428903,1371377429403,0,0,0,0,H2
1371377429403,1371377429903,0,0,0,0,H2
1371377429903,1371377430403,0,0,0,0,H2
1371377430403,1371377430903,0,0,0,0,H2
1371377430903,1371377431403,0,0,0,0,H2
1371377431403,1371377431903,0,0,0,0,H2
1371377431903,1371377432403,0,0,0,0,H2
1371377432403,1371377432903,0,0,0,0,H2
1371377432903,1371377433403,0,0,0,0,H2
1371377433403,1371377433903,0,0,0,0,H2
1371377433903,1371377434403,0,0,0,0,H2
1371377434403,1371377434903,0,0,0,0,H2
1371377434903,1371377435403,0,0,0,0,H2
1371377435403,1371377435903,0,0,0,0,H2
1371377435903,1371377436403,0,0,0,0,H2
1371377436403,1371377436903,0,0,0,0,H2
1371377436903,1371377437403,0,0,0,0,H2
1371377437403,1371377437903,0,0,0,0,H2
1371377437903,1371377438403,0,0,0,0,H2
1371377438403,1371377438903,0,0,0,0,H2
1371377438903,1371377439403,0,0,0,0,H2
1371377439403,1371377439903,0,0,0,0,H2
1371377439903,1371377440403,0,0,0,0,H2
1371377440403,1371377440903,0,0,0,0,H2
1371377440903,1371377441403,0,0,0,0,H2
1371377441403,1371377441903,0,0,0,0,H2
1371377441903,1371377442403,0,0,0,0,H2
1371377442403,1371377442903,0,0,0,0,H2
1371377442903,1371377443403,0,0,0,0,H2
1371377443403,1371377443903,0,0,0,0,H2
1371377443903,1371377444403,0,0,0,0,H2
1371377444403,1371377444903,0,0,0,0,H2
1371377444903,1371377445403,0,0,0,0,H2
1371377445403,1371377445903,0,1,0,0,H4
1371377445903,1371377446403,0,2,0,0,H4
1371377446403,1371377446903,1,0,0,0,H3
1371377446903,1371377447403,3,0,0,0,H3
1371377447403,1371377447903,4,0,0,0,H3
1371377447903,1371377448403,0,0,0,0,H2
1371377448403,1371377448903,0,0,0,0,H2
1371377448903,1371377449403,1,0,0,0,H3
1371377449403,1371377449903,0,0,0,0,H2
1371377449903,1371377450403,0,0,0,0,H2
1371377450403,1371377450903,0,0,0,0,H2
1371377450903,1371377451403,0,0,0,0,H2
1371377451403,1371377451903,0,0,0,0,H2
1371377451903,1371377452403,0,0,0,0,H2
1371377452403,1371377452903,0,0,0,0,H2
1371377452903,1371377453403,0,0,0,0,H2
1371377453403,1371377453903,0,0,0,0,H2
1371377453903,1371377454403,0,0,0,0,H2
1371377454403,1371377454903,0,0,0,0,H2
1371377454903,1371377455403,0,0,0,0,H2
1371377455403,1371377455903,0,0,0,0,H2
1371377455903,1371377456403,0,0,0,0,H2
1371377456403,1371377456903,0,0,0,0,H2
1371377456903,1371377457403,0,0,0,0,H2
1371377457403,1371377457903,0,0,0,0,H2
1371377457903,1371377458403,0,0,0,0,H2
1371377458403,1371377458903,0,0,0,0,H2
1371377458903,1371377459403,0,0,0,0,H2
1371377459403,1371377459903,0,0,0,0,H2
1371377459903,1371377460403,0,0,0,0,H2
1371377460403,1371377460903,0,0,0,0,H2
1371377460903,1371377461403,0,0,0,0,H2
1371377461403,1371377461903,0,0,0,0,H2
1371377461903,1371377462403,0,0,0,0,H2
1371377462403,1371377462903,0,0,0,0,H2
1371377462903,1371377463403,0,0,0,0,H2
1371377463403,1371377463903,0,0,0,0,H2
1371377463903,1371377464403,0,0,0,0,H2
1371377464403,1371377464903,0,0,0,0,H2
1371377464903,1371377465403,0,0,0,0,H2
1371377465403,1371377465903,0,0,0,0,H2
1371377465903,1371377466403,0,0,0,0,H2
1371377466403,1371377466903,0,0,0,0,H2
1371377466903,1371377467403,2,0,0,0,H3
1371377467403,1371377467903,3,0,0,0,H3
1371377467903,1371377468403,2,0,0,0,H3
1371377468403,1371377468903,0,0,0,0,H2
1371377468903,1371377469403,0,0,0,0,H2
1371377469403,1371377469903,0,0,0,0,H2
1371377469903,1371377470403,0,0,0,0,H2
1371377470403,1371377470903,0,0,0,0,H2
1371377470903,1371377471403,0,0,0,0,H2
1371377471403,1371377471903,0,0,0,0,H2
1371377471903,1371377472403,0,0,0,0,H2
1371377472403,1371377472903,0,0,0,0,H2
1371377472903,1371377473403,0,2,0,0,H4
1371377473403,1371377473903,0,0,0,0,H2
1371377473903,1371377474403,2,0,0,0,H3
1371377474403,1371377474903,2,0,0,0,H3
1371377474903,1371377475403,4,0,0,0,H3
1371377475403,1371377475903,3,0,0,0,H3
1371377475903,1371377476403,0,0,0,0,H2
1371377476403,1371377476903,0,0,0,0,H2
1371377476903,1371377477403,0,0,0,0,H2
1371377477403,1371377477903,0,0,0,0,H2
1371377477903,1371377478403,0,0,0,0,H2
1371377478403,1371377478903,0,0,0,0,H2
1371377478903,1371377479403,0,0,0,0,H2
1371377479403,1371377479903,0,0,0,0,H2
1371377479903,1371377480403,0,0,0,0,H2
1371377480403,1371377480903,0,0,0,0,H2
1371377480903,1371377481403,0,0,0,0,H2
1371377481403,1371377481903,0,0,0,0,H2
1371377481903,1371377482403,0,0,0,0,H2
1371377482403,1371377482903,0,0,0,0,H2
1371377482903,1371377483403,0,0,0,0,H2
1371377483403,1371377483903,0,0,0,0,H2
1371377483903,1371377484403,0,0,0,0,H2
1371377484403,1371377484903,0,0,0,0,H2
1371377484903,1371377485403,0,0,0,0,H2
