start,end,keyDownNormal,keyDownDel,keyDownCtrl,keyDownNav,mouseDown,fixationSource,fixationTarget,state
1402483122015,1402483122515,0,0,0,0,0,0,0,H9
1402483122515,1402483123015,0,0,0,0,0,0,2,H3
1402483123015,1402483123515,0,0,0,0,0,0,1,H3
1402483123515,1402483124015,0,0,0,0,0,0,1,H3
1402483124015,1402483124515,0,0,0,0,0,0,2,H3
1402483124515,1402483125015,0,0,0,0,0,0,0,H9
1402483125015,1402483125515,2,0,0,0,0,0,0,H3
1402483125515,1402483126015,0,0,0,0,0,0,1,H3
1402483126015,1402483126515,0,0,0,0,0,0,2,H3
1402483126515,1402483127015,0,0,0,0,0,0,1,H3
1402483127015,1402483127515,0,0,0,0,1,0,0,H6
1402483127515,1402483128015,0,0,0,0,0,1,1,H1
1402483128015,1402483128515,0,0,0,0,0,2,0,H1
1402483128515,1402483129015,0,0,0,0,0,0,2,H3
1402483129015,1402483129515,0,0,0,0,0,0,2,H3
1402483129515,1402483130015,0,0,0,0,0,0,2,H3
1402483130015,1402483130515,0,0,0,0,0,1,0,H1
1402483130515,1402483131015,0,0,0,0,0,1,1,H1
1402483131015,1402483131515,0,0,0,0,0,0,2,H3
1402483131515,1402483132015,0,0,0,0,0,0,2,H3
1402483132015,1402483132515,0,0,0,0,0,0,2,H3
1402483132515,1402483133015,0,0,0,0,0,0,1,H3
1402483133015,1402483133515,0,0,0,0,0,1,1,H1
1402483133515,1402483134015,0,0,0,0,0,2,0,H1
1402483134015,1402483134515,0,0,0,0,0,1,0,H1
1402483134515,1402483135015,0,0,0,0,0,0,1,H3
1402483135015,1402483135515,0,0,0,0,0,0,2,H3
1402483135515,1402483136015,0,0,0,0,0,0,2,H3
1402483136015,1402483136515,0,0,0,0,0,0,1,H3
1402483136515,1402483137015,0,0,0,0,0,0,0,H9
1402483137015,1402483137515,0,0,0,0,1,0,2,H6
1402483137515,1402483138015,0,0,0,0,0,0,2,H3
1402483138015,1402483138515,0,0,0,0,0,0,1,H3
1402483138515,1402483139015,0,0,0,0,0,0,1,H3
1402483139015,1402483139515,0,0,0,0,0,0,0,H9
1402483139515,1402483140015,3,0,0,0,0,0,0,H3
1402483140015,1402483140515,0,0,0,0,0,0,1,H3
1402483140515,1402483141015,0,0,0,0,0,0,1,H3
1402483141015,1402483141515,0,0,0,0,0,0,1,H3
1402483141515,1402483142015,0,1,0,0,0,0,0,H8
1402483142015,1402483142515,2,0,0,0,0,0,0,H3
1402483142515,1402483143015,2,0,0,0,0,0,0,H3
1402483143015,1402483143515,1,0,0,0,0,0,0,H3
1402483143515,1402483144015,3,0,0,0,0,0,0,H3
1402483144015,1402483144515,2,0,0,0,0,0,1,H3
1402483144515,1402483145015,0,0,0,0,0,0,1,H3
1402483145015,1402483145515,0,0,0,0,0,0,0,H9
1402483145515,1402483146015,0,0,0,3,0,0,0,H5
1402483146015,1402483146515,0,0,0,3,0,0,0,H5
1402483146515,1402483147015,0,0,0,1,0,0,1,H2
1402483147015,1402483147515,0,1,0,0,0,0,0,H8
1402483147515,1402483148015,1,0,0,0,0,0,0,H3
1402483148015,1402483148515,0,0,0,0,0,0,1,H3
1402483148515,1402483149015,0,0,0,0,0,0,0,H9
1402483149015,1402483149515,0,0,0,0,0,0,0,H9
1402483149515,1402483150015,0,0,0,0,0,0,0,H9
1402483150015,1402483150515,0,0,0,0,1,0,0,H6
